no,name,party,Id
9771107,박성준,더불어민주당,박성준-더불어민주당
9771108,권영세,국민의힘,권영세-국민의힘
9771109,고민정,더불어민주당,고민정-더불어민주당
9771110,장경태,더불어민주당,장경태-더불어민주당
9771111,김영배,더불어민주당,김영배-더불어민주당
9771112,천준호,더불어민주당,천준호-더불어민주당
9771113,오기형,더불어민주당,오기형-더불어민주당
9771114,정청래,더불어민주당,정청래-더불어민주당
9771115,이용선,더불어민주당,이용선-더불어민주당
9771116,강선우,더불어민주당,강선우-더불어민주당
9771117,진성준,더불어민주당,진성준-더불어민주당
9771118,윤건영,더불어민주당,윤건영-더불어민주당
9771119,최기상,더불어민주당,최기상-더불어민주당
9771120,김민석,더불어민주당,김민석-더불어민주당
9771121,유기홍,더불어민주당,유기홍-더불어민주당
9771122,정태호,더불어민주당,정태호-더불어민주당
9771123,윤희숙,국민의힘,윤희숙-국민의힘
9771125,박진,국민의힘,박진-국민의힘
9771126,유경준,국민의힘,유경준-국민의힘
9771127,김웅,국민의힘,김웅-국민의힘
9771128,배현진,국민의힘,배현진-국민의힘
9771129,이해식,더불어민주당,이해식-더불어민주당
9771130,황보승희,국민의힘,황보승희-국민의힘
9771132,안병길,국민의힘,안병길-국민의힘
9771133,서병수,국민의힘,서병수-국민의힘
9771134,김희곤,국민의힘,김희곤-국민의힘
9771135,박수영,국민의힘,박수영-국민의힘
9771136,김미애,국민의힘,김미애-국민의힘
9771137,백종헌,국민의힘,백종헌-국민의힘
9771138,이주환,국민의힘,이주환-국민의힘
9771139,전봉민,무소속,전봉민-무소속
9771141,류성걸,국민의힘,류성걸-국민의힘
9771142,강대식,국민의힘,강대식-국민의힘
9771143,양금희,국민의힘,양금희-국민의힘
9771144,김승수,국민의힘,김승수-국민의힘
9771145,홍준표,무소속,홍준표-무소속
9771146,홍석준,국민의힘,홍석준-국민의힘
9771147,김용판,국민의힘,김용판-국민의힘
9771148,배준영,국민의힘,배준영-국민의힘
9771149,허종식,더불어민주당,허종식-더불어민주당
9771150,정일영,더불어민주당,정일영-더불어민주당
9771151,이성만,더불어민주당,이성만-더불어민주당
9771152,김교흥,더불어민주당,김교흥-더불어민주당
9771153,윤영덕,더불어민주당,윤영덕-더불어민주당
9771154,이병훈,더불어민주당,이병훈-더불어민주당
9771155,양향자,더불어민주당,양향자-더불어민주당
9771156,조오섭,더불어민주당,조오섭-더불어민주당
9771157,이형석,더불어민주당,이형석-더불어민주당
9771158,이용빈,더불어민주당,이용빈-더불어민주당
9771159,민형배,더불어민주당,민형배-더불어민주당
9771160,장철민,더불어민주당,장철민-더불어민주당
9771161,황운하,더불어민주당,황운하-더불어민주당
9771162,박영순,더불어민주당,박영순-더불어민주당
9771163,박성민,국민의힘,박성민-국민의힘
9771164,김기현,국민의힘,김기현-국민의힘
9771165,권명호,국민의힘,권명호-국민의힘
9771166,서범수,국민의힘,서범수-국민의힘
9771167,홍성국,더불어민주당,홍성국-더불어민주당
9771168,강준현,더불어민주당,강준현-더불어민주당
9771169,김승원,더불어민주당,김승원-더불어민주당
9771170,윤영찬,더불어민주당,윤영찬-더불어민주당
9771171,김은혜,국민의힘,김은혜-국민의힘
