"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"rmse",0.00672365147171262,0.00671808860201105,0.00596569834366893,0.00631050538550504,0.00642822240358873,0.00584000433408101,0.00683524618189286,0.00687200338315249,0.0066999600765729,0.00714149738559356,0.00727878211193558,0.00812909064873856
"rmse",0.00484840492302263,0.00480018783504216,0.00466824145503247,0.00470809709670526,0.00469717159853471,0.00471836801645227,0.00486910883710464,0.00487721571549763,0.00478345714859976,0.0047381350536903,0.00474844515815892,0.00476142197872367
"rmse",0.00470535439255642,0.00465389419027688,0.00469887950436821,0.00475064247659481,0.00477457272798017,0.00479426775686497,0.00487735693074614,0.00484594540201901,0.00482626548122122,0.00478384641847521,0.00475307448215705,0.00477933112787271
"rmse",0.00481769185457244,0.00464966788616016,0.0046976467344016,0.00467038947820151,0.00474191374144773,0.0047352320012385,0.00491978723511777,0.00493427833762768,0.0049240322982961,0.00486743562894422,0.00480443379902579,0.0048031235752118
"rmse",0.00465447261738478,0.00464924845818093,0.00473978589619729,0.00482095633873257,0.00480923644584739,0.00480008313806226,0.00486451793392995,0.0048489055145393,0.00482174097559181,0.00477437444565226,0.00475944276136171,0.0048175417930274
"rmse",0.00481302235890114,0.00467008431032128,0.00471035650865254,0.00474354487558585,0.00473621795346741,0.00474194397152869,0.00490289312329294,0.00488650179361163,0.00487418836544553,0.00482529876589557,0.00480161261514649,0.00474482060509187
"rmse",0.00485875038986768,0.00485867316484288,0.00484815364109218,0.00484940640674117,0.00484830325731829,0.00483874010568168,0.00484432753353131,0.00483955044278328,0.0048311112431894,0.00482230593942277,0.00481554808430672,0.00481011295917433
"rmse",0.00463342893268263,0.00461454128315377,0.00451483567723922,0.00460285418909437,0.00472030267130409,0.00477575218983188,0.00493987958726852,0.00493788695835894,0.00494289644606403,0.00493247766052398,0.00494722526713721,0.00493219576525735
"rmse",0.00502508871539139,0.00504526517640305,0.00488578647134776,0.004898357598607,0.00492140121925362,0.00468477392000882,0.004820680685169,0.00489106358932848,0.00475283409063678,0.00479008645220364,0.00488240298995283,0.00479817521719349
"rmse",0.00477679011167472,0.00485924742680098,0.00485301283302989,0.00491130596315677,0.00489340762116476,0.00489262407415432,0.00500936085380088,0.00493470415848642,0.00510672303657164,0.00504098024842175,0.00500862423071548,0.00502791473304751
"rmse",0.00470338852767771,0.00480904490846249,0.00466477724859296,0.00473718933169261,0.0047315888003082,0.0047513330070393,0.00490621520248281,0.00491511590769675,0.00491659685808918,0.00490482409473837,0.00481846772839217,0.0048251998687258
"rmse",0.00478689027246263,0.00468981427552462,0.0050152418007064,0.00479089071860176,0.00512481646288568,0.00502877511518763,0.00502751714729855,0.00564478243109994,0.00522081807722913,0.0053614341342814,0.00527205921947756,0.00519157587246278
